Format = Name, Patch, Type, Ra, Dec, I, Q, U, V, SpectralIndex, LogarithmicSI, ReferenceFrequency='150.e6', MajorAxis, MinorAxis, Orientation

, CygA, POINT, , , , , , , , , , , ,
CygA_4_2, CygA, POINT, 19:59:30.433, 40.43.56.221, 4827, 0, 0, 0, [-0.800000011920929], true, 73800000, , ,
CygA_4_1, CygA, GAUSSIAN, 19:59:28.476, 40.44.01.804, 4165, 0, 0, 0, [-0.800000011920929], true, 73800000, 0.0120516, 0.00534011, 1.0323
CygA_4_3, CygA, POINT, 19:59:22.168, 40.44.28.591, 3896, 0, 0, 0, [-0.800000011920929], true, 73800000, , ,
CygA_4_4, CygA, POINT, 19:59:24.413, 40.44.18.617, 2798, 0, 0, 0, [-0.800000011920929], true, 73800000, , ,
CygA_4_5, CygA, POINT, 19:59:25.555, 40.43.52.813, 156, 0, 0, 0, [-0.800000011920929], true, 73800000, , ,
, CasA, POINT, , , , , , , , , , , ,
CasA_4_3, CasA, GAUSSIAN, 23:23:21.044, 58.49.42, 4193, 0, 0, 0, [-0.800000011920929], true, 73781700, 0.0432664, 0.0179281, 2.73207
CasA_4_2, CasA, GAUSSIAN, 23:23:33.918, 58.50.13.374, 4131, 0, 0, 0, [-0.800000011920929], true, 73781700, 0.0425963, 0.0187784, 1.12516
CasA_4_8, CasA, GAUSSIAN, 23:23:34.032, 58.47.29.883, 2536, 0, 0, 0, [-0.800000011920929], true, 73781700, 0.0277739, 0.0142664, 6.26062
CasA_4_5, CasA, GAUSSIAN, 23:23:15.292, 58.50.00.221, 2316, 0, 0, 0, [-0.800000011920929], true, 73781700, 0.0315448, 0.00902869, 4.11857
CasA_4_1, CasA, GAUSSIAN, 23:23:39.632, 58.48.32.671, 2245, 0, 0, 0, [-0.800000011920929], true, 73781700, 0.0225927, 0.0170874, 8.48056
CasA_4_7, CasA, GAUSSIAN, 23:23:24.11, 58.47.43.607, 2201, 0, 0, 0, [-0.800000011920929], true, 73781700, 0.0464283, 0.0149372, 2.12611
CasA_4_4, CasA, GAUSSIAN, 23:23:14.939, 58.48.09.511, 2099, 0, 0, 0, [-0.800000011920929], true, 73781700, 0.0309146, 0.014299, 1.61549
CasA_4_9, CasA, GAUSSIAN, 23:23:10.817, 58.48.46.409, 979, 0, 0, 0, [-0.800000011920929], true, 73781700, 0.00962058, 0.00779284, 1.77482
CasA_4_6, CasA, GAUSSIAN, 23:23:26.327, 58.51.14.147, 244.399993896484, 0, 0, 0, [-0.800000011920929], true, 73781700, 0.00875852, 0.00694444, 8.1279
, TauA, POINT, , , , , , , , , , , ,
TauA_4_1, TauA, GAUSSIAN, 05:34:32.269, 21.59.47.597, 191.100006103516, 0, 0, 0, [-0.800000011920929], true, 73800000, 0.0394949, 0.0131559, 1.65623
TauA_4_11, TauA, GAUSSIAN, 05:34:28.639, 22.00.53.809, 134.399993896484, 0, 0, 0, [-0.800000011920929], true, 73800000, 0.02825, 0.0122959, 2.49193
TauA_4_3, TauA, GAUSSIAN, 05:34:25.671, 22.01.26.361, 124.699996948242, 0, 0, 0, [-0.800000011920929], true, 73800000, 0.0276133, 0.0113962, 5.60626
TauA_4_9, TauA, GAUSSIAN, 05:34:23.42, 22.00.12.563, 109.599998474121, 0, 0, 0, [-0.800000011920929], true, 73800000, 0.0282128, 0.0171142, 3.38306
TauA_4_15, TauA, GAUSSIAN, 05:34:22.884, 22.01.56.603, 92.4300003051758, 0, 0, 0, [-0.800000011920929], true, 73800000, 0.0199931, 0.0165627, 1.76338
TauA_4_20, TauA, GAUSSIAN, 05:34:29.086, 21.59.21.722, 87.9199981689453, 0, 0, 0, [-0.800000011920929], true, 73800000, 0.0323261, 0.00903648, 1.09196
TauA_4_10, TauA, GAUSSIAN, 05:34:37.53, 21.59.06.719, 86.4100036621094, 0, 0, 0, [-0.800000011920929], true, 73800000, 0.021339, 0.0133726, 1.27644
TauA_4_2, TauA, POINT, 05:34:30.55, 21.59.58.106, 82.7600021362305, 0, 0, 0, [-0.800000011920929], true, 73800000, , ,
TauA_4_5, TauA, GAUSSIAN, 05:34:40.748, 21.59.31.921, 70.0800018310547, 0, 0, 0, [-0.800000011920929], true, 73800000, 0.0259971, 0.0125206, 1.51745
TauA_4_14, TauA, GAUSSIAN, 05:34:30.57, 21.58.33.304, 61.8699989318848, 0, 0, 0, [-0.800000011920929], true, 73800000, 0.0187859, 0.0114519, 8.4272
TauA_4_7, TauA, GAUSSIAN, 05:34:36.888, 22.01.01.174, 55.3699989318848, 0, 0, 0, [-0.800000011920929], true, 73800000, 0.0193364, 0.0121462, 1.39794
TauA_4_8, TauA, GAUSSIAN, 05:34:35.324, 22.00.10.883, 55.25, 0, 0, 0, [-0.800000011920929], true, 73800000, 0.0181832, 0.0135652, 1.06533
TauA_4_4, TauA, GAUSSIAN, 05:34:23.931, 21.58.55.252, 50.7599983215332, 0, 0, 0, [-0.800000011920929], true, 73800000, 0.01778, 0.0152796, 7.50003
TauA_4_13, TauA, GAUSSIAN, 05:34:36.235, 21.58.03.089, 48.6199989318848, 0, 0, 0, [-0.800000011920929], true, 73800000, 0.0359649, 0.00918833, 8.58303
TauA_4_6, TauA, GAUSSIAN, 05:34:27.47, 21.58.50.002, 42.2299995422363, 0, 0, 0, [-0.800000011920929], true, 73800000, 0.0254141, 0.00787103, 5.52923
TauA_4_21, TauA, GAUSSIAN, 05:34:34.585, 22.00.45.58, 41.75, 0, 0, 0, [-0.800000011920929], true, 73800000, 0.0319587, 0.00670123, 1.72839
TauA_4_19, TauA, GAUSSIAN, 05:34:19.534, 22.01.07.47, 39.060001373291, 0, 0, 0, [-0.800000011920929], true, 73800000, 0.0220399, 0.0114898, 1.765
TauA_4_17, TauA, GAUSSIAN, 05:34:29.426, 21.59.51.003, 28.4799995422363, 0, 0, 0, [-0.800000011920929], true, 73800000, 0.0110631, 0.00513228, 1.27622
TauA_4_23, TauA, GAUSSIAN, 05:34:26.246, 22.02.05.085, 26.9899997711182, 0, 0, 0, [-0.800000011920929], true, 73800000, 0.0128687, 0.0105568, 1.44302
TauA_4_16, TauA, GAUSSIAN, 05:34:32.269, 22.01.21.318, 25.5699996948242, 0, 0, 0, [-0.800000011920929], true, 73800000, 0.0116784, 0.00766067, 1.43877
TauA_4_12, TauA, GAUSSIAN, 05:34:22.991, 22.00.33, 21.2700004577637, 0, 0, 0, [-0.800000011920929], true, 73800000, 0.0149607, 0.00816407, 1.16642
TauA_4_18, TauA, GAUSSIAN, 05:34:26.292, 22.02.39.501, 17.2700004577637, 0, 0, 0, [-0.800000011920929], true, 73800000, 0.0219757, 0.00632082, 1.08185
TauA_4_22, TauA, GAUSSIAN, 05:34:37.023, 21.58.27.987, 13.5699996948242, 0, 0, 0, [-0.800000011920929], true, 73800000, 0.0085411, 0.00501393, 7.39302
TauA_4_24, TauA, GAUSSIAN, 05:34:31.108, 22.00.32.726, 11.0600004196167, 0, 0, 0, [-0.800000011920929], true, 73800000, 0.0259017, 0.00694444, 5.84987
TauA_4_26, TauA, GAUSSIAN, 05:32:23.875, 21.50.58.488, 1.77999997138977, 0, 0, 0, [-0.800000011920929], true, 73800000, 0.0105524, 0.00394647, 6.84955
TauA_4_25, TauA, POINT, 05:34:30.647, 21.59.16.928, 0.97759997844696, 0, 0, 0, [-0.800000011920929], true, 73800000, , ,
, VirA, POINT, , , , , , , , , , , ,
VirA_4_17, VirA, GAUSSIAN, 12:30:34.383, 12.20.04.012, 321.899993896484, 0, 0, 0, [-0.800000011920929], true, 73800000, 0.0842972, 0.0611535, 6.50364
VirA_4_2, VirA, GAUSSIAN, 12:30:47.034, 12.23.43.975, 259.100006103516, 0, 0, 0, [-0.800000011920929], true, 73800000, 0.008544, 0.00407169, 1.06884
VirA_4_1, VirA, POINT, 12:30:48.961, 12.23.33.77, 151.600006103516, 0, 0, 0, [-0.800000011920929], true, 73800000, , ,
VirA_4_19, VirA, GAUSSIAN, 12:30:41.047, 12.17.36.983, 109.400001525879, 0, 0, 0, [-0.800000011920929], true, 73800000, 0.0463137, 0.0279725, 8.64763
VirA_4_20, VirA, GAUSSIAN, 12:30:49.25, 12.24.02.102, 106.900001525879, 0, 0, 0, [-0.800000011920929], true, 73800000, 0.0992793, 0.0233402, 1.0893
VirA_4_7, VirA, GAUSSIAN, 12:31:00.32, 12.26.38.867, 88.5100021362305, 0, 0, 0, [-0.800000011920929], true, 73800000, 0.0383541, 0.0347954, 1.53069
VirA_4_6, VirA, GAUSSIAN, 12:30:55.49, 12.23.49.301, 74.9899978637695, 0, 0, 0, [-0.800000011920929], true, 73800000, 0.0664979, 0.017995, 1.72468
VirA_4_4, VirA, GAUSSIAN, 12:30:59.933, 12.22.42.187, 73.879997253418, 0, 0, 0, [-0.800000011920929], true, 73800000, 0.152817, 0.0169367, 3.2883
VirA_4_21, VirA, GAUSSIAN, 12:30:42.588, 12.22.06.778, 61.5299987792969, 0, 0, 0, [-0.800000011920929], true, 73800000, 0.038161, 0.0187921, 2.03833
VirA_4_9, VirA, GAUSSIAN, 12:30:50.661, 12.23.49.618, 54.560001373291, 0, 0, 0, [-0.800000011920929], true, 73800000, 0.0736474, 0.00825082, 8.58262
VirA_4_3, VirA, POINT, 12:30:48.239, 12.23.18.068, 53.9799995422363, 0, 0, 0, [-0.800000011920929], true, 73800000, , ,
VirA_4_14, VirA, GAUSSIAN, 12:30:39.222, 12.23.13.204, 51.4199981689453, 0, 0, 0, [-0.800000011920929], true, 73800000, 0.0240448, 0.0175673, 1.70476
VirA_4_5, VirA, POINT, 12:30:45.851, 12.23.49.562, 41.8899993896484, 0, 0, 0, [-0.800000011920929], true, 73800000, , ,
VirA_4_8, VirA, GAUSSIAN, 12:30:52.15, 12.18.29.472, 39.3600006103516, 0, 0, 0, [-0.800000011920929], true, 73800000, 0.0338379, 0.0230198, 1.60497
VirA_4_15, VirA, GAUSSIAN, 12:31:01.387, 12.24.37.942, 33.1300010681152, 0, 0, 0, [-0.800000011920929], true, 73800000, 0.0214509, 0.0118403, 7.44971
VirA_4_12, VirA, GAUSSIAN, 12:31:03.637, 12.23.31.633, 28.3500003814697, 0, 0, 0, [-0.800000011920929], true, 73800000, 0.0323407, 0.0090281, 3.03022
VirA_4_11, VirA, GAUSSIAN, 12:30:59.512, 12.22.44.364, 27.0100002288818, 0, 0, 0, [-0.800000011920929], true, 73800000, 0.0266163, 0.010845, 1.34667
VirA_4_13, VirA, GAUSSIAN, 12:31:00.272, 12.23.41.572, 26.7600002288818, 0, 0, 0, [-0.800000011920929], true, 73800000, 0.0152105, 0.011142, 1.04009
VirA_4_10, VirA, POINT, 12:30:48.452, 12.23.32.663, 22.1700000762939, 0, 0, 0, [-0.800000011920929], true, 73800000, , ,
VirA_4_16, VirA, GAUSSIAN, 12:30:43.137, 12.23.59.978, 17.8799991607666, 0, 0, 0, [-0.800000011920929], true, 73800000, 0.0168245, 0.00905564, 9.84731
VirA_4_24, VirA, GAUSSIAN, 12:30:36.867, 12.18.49.897, 11.3000001907349, 0, 0, 0, [-0.800000011920929], true, 73800000, 0.0228602, 0.0166793, 1.45577
VirA_4_18, VirA, POINT, 12:30:47.114, 12.23.26.692, 8.17899990081787, 0, 0, 0, [-0.800000011920929], true, 73800000, , ,
VirA_4_23, VirA, GAUSSIAN, 12:30:44.464, 12.19.17.889, 4.81899976730347, 0, 0, 0, [-0.800000011920929], true, 73800000, 0.013746, 0.0136631, 1.48507
VirA_4_22, VirA, GAUSSIAN, 12:30:44.127, 12.23.08.175, 4.20699977874756, 0, 0, 0, [-0.800000011920929], true, 73800000, 0.00885467, 0.00544859, 1.33216
