Format = Name, Patch, Type, Ra, Dec, I, Q, U, V, SpectralIndex, LogarithmicSI, ReferenceFrequency='150.e6', MajorAxis, MinorAxis, Orientation

, CasA_4_patch, POINT, , , , , , , , , , , ,
CasA_4_0, CasA_4_patch, GAUSSIAN, 23:23:36.066, 58.48.26.841, 2152, 0, 0, 0, [-0.800000011920929], true, 74000000, 131.633, 66.8929, 6.96847
CasA_4_3, CasA_4_patch, GAUSSIAN, 23:23:17.055, 58.48.28.234, 1885, 0, 0, 0, [-0.800000011920929], true, 74000000, 109.305, 50.3183, 1.13783
CasA_4_1, CasA_4_patch, GAUSSIAN, 23:23:30.17, 58.50.32.901, 1454, 0, 0, 0, [-0.800000011920929], true, 74000000, 67.0049, 47.9351, 6.34777
CasA_4_2, CasA_4_patch, GAUSSIAN, 23:23:26.819, 58.48.01.994, 1450, 0, 0, 0, [-0.800000011920929], true, 74000000, 118.728, 53.3257, 1.22713
CasA_4_4, CasA_4_patch, GAUSSIAN, 23:23:20.262, 58.49.40.562, 1262, 0, 0, 0, [-0.800000011920929], true, 74000000, 92.6437, 30.4364, 7.95822
CasA_4_13, CasA_4_patch, GAUSSIAN, 23:23:16.75, 58.50.13.546, 1248, 0, 0, 0, [-0.800000011920929], true, 74000000, 62.5312, 31.0621, 3.58952
CasA_4_9, CasA_4_patch, GAUSSIAN, 23:23:22.688, 58.50.29.96, 1243, 0, 0, 0, [-0.800000011920929], true, 74000000, 51.7601, 37.1835, 9.18
CasA_4_11, CasA_4_patch, GAUSSIAN, 23:23:42.06, 58.48.31.308, 1193, 0, 0, 0, [-0.800000011920929], true, 74000000, 83.5426, 40.0613, 1.64752
CasA_4_16, CasA_4_patch, GAUSSIAN, 23:23:11.166, 58.49.19.47, 1107, 0, 0, 0, [-0.800000011920929], true, 74000000, 72.9222, 22.0341, 1.93809
CasA_4_19, CasA_4_patch, GAUSSIAN, 23:23:36.748, 58.50.01.243, 960.400024414062, 0, 0, 0, [-0.800000011920929], true, 74000000, 59.2969, 35.4857, 9.56093
CasA_4_8, CasA_4_patch, GAUSSIAN, 23:23:11.639, 58.48.49.759, 840.700012207031, 0, 0, 0, [-0.800000011920929], true, 74000000, 48.6229, 16.3615, 8.64941
CasA_4_22, CasA_4_patch, GAUSSIAN, 23:23:23.988, 58.47.16.481, 711.799987792969, 0, 0, 0, [-0.800000011920929], true, 74000000, 70.7202, 25.0562, 1.19156
CasA_4_6, CasA_4_patch, GAUSSIAN, 23:23:18.821, 58.47.09.637, 705.099975585938, 0, 0, 0, [-0.800000011920929], true, 74000000, 110.931, 31.7304, 1.22741
CasA_4_18, CasA_4_patch, GAUSSIAN, 23:23:26.619, 58.49.13.443, 678.200012207031, 0, 0, 0, [-0.800000011920929], true, 74000000, 67.8753, 40.9687, 6.92062
CasA_4_14, CasA_4_patch, GAUSSIAN, 23:23:12.347, 58.48.20.658, 628.599975585938, 0, 0, 0, [-0.800000011920929], true, 74000000, 41.0734, 19.8524, 1.4089
CasA_4_5, CasA_4_patch, GAUSSIAN, 23:23:24.54, 58.51.09.788, 531.700012207031, 0, 0, 0, [-0.800000011920929], true, 74000000, 86.7504, 0, 8.75575
CasA_4_21, CasA_4_patch, GAUSSIAN, 23:23:33.106, 58.47.14.605, 502.700012207031, 0, 0, 0, [-0.800000011920929], true, 74000000, 89.5055, 23.3737, 8.18331
CasA_4_12, CasA_4_patch, GAUSSIAN, 23:23:46.806, 58.49.29.598, 436.700012207031, 0, 0, 0, [-0.800000011920929], true, 74000000, 53.1505, 26.7969, 1.34762
CasA_4_17, CasA_4_patch, GAUSSIAN, 23:23:37.848, 58.48.06.78, 422.600006103516, 0, 0, 0, [-0.800000011920929], true, 74000000, 41.9697, 15.7517, 9.22684
CasA_4_23, CasA_4_patch, GAUSSIAN, 23:23:26.083, 58.51.17.187, 392.899993896484, 0, 0, 0, [-0.800000011920929], true, 74000000, 34.77, 20.3543, 5.33125
CasA_4_15, CasA_4_patch, GAUSSIAN, 23:23:42.248, 58.50.33.161, 255.699996948242, 0, 0, 0, [-0.800000011920929], true, 74000000, 64.1645, 29.8146, 9.00973
CasA_4_7, CasA_4_patch, GAUSSIAN, 23:23:34.239, 58.47.33.428, 219.600006103516, 0, 0, 0, [-0.800000011920929], true, 74000000, 25.8767, 0, 4.8587
CasA_4_10, CasA_4_patch, GAUSSIAN, 23:23:19.303, 58.46.28.438, 202.399993896484, 0, 0, 0, [-0.800000011920929], true, 74000000, 26.659, 11.7588, 1.17405
CasA_4_20, CasA_4_patch, GAUSSIAN, 23:23:45.024, 58.48.27.374, 99.8399963378906, 0, 0, 0, [-0.800000011920929], true, 74000000, 12.4038, 0, 1.21578
